XH 901,QA060,FS2011,RAD 100
0.21,0.04,0.03,0.1
0.21,0.04,0.03,0.1
0.2,0.03,0.03,0.1
0.18,0.03,0.03,0.09
0.18,0.02,0.03,0.08
0.2,0.02,0.03,0.09
0.2,0.02,0.03,0.09
0.2,0.02,0,0.11
0.12,0.01,0,0.11
0.14,0.01,0,0.11
0.14,0.01,0,0.12
0.14,0.01,0,0.13
0.14,0,0,0.13
0.14,0,0,0.14
0.12,0,0,0.14
0.12,0,0,0.13
0.12,0.01,0,0.15
0.18,0.02,0,0.15
0.18,0.02,0,0.16
0.18,0.02,0,0.17
0.2,0.02,0.03,0.17
0.2,0.02,0.03,0.18
0.2,0.02,0.06,0.19
0.2,0.02,0.06,0.2
0.2,0.03,0.06,0.19
0.18,0.03,0.09,0.19
0.18,0.03,0.09,0.2
0.18,0.03,0.09,0.21
0.18,0.03,0.09,0.21
0.2,0.03,0.09,0.21
0.2,0.03,0.09,0.21
0.21,0.03,0.12,0.19
0.21,0.04,0.12,0.19
0.21,0.04,0.12,0.19
0.21,0.04,0.12,0.19
0.2,0.04,0.12,0.19
0.18,0.05,0.15,0.19
0.18,0.05,0.12,0.17
0.18,0.05,0.09,0.17
0.18,0.06,0.12,0.18
0.12,0.07,0.12,0.17
0.12,0.07,0.09,0.16
0.12,0.08,0.09,0.15
0.12,0.09,0.09,0.15
0.18,0.09,0.12,0.15
0.18,0.09,0.12,0.16
0.18,0.09,0.12,0.15
0.18,0.09,0.09,0.15
0.18,0.09,0.09,0.15
0.12,0.09,0.09,0.14
0.12,0.09,0.1,0.14
0.14,0.09,0.12,0.13
0.14,0.09,0.09,0.13
0.14,0.09,0.09,0.12
0.14,0.09,0.09,0.13
0.14,0.08,0.06,0.13
0.14,0.07,0.06,0.12
0.12,0.07,0.06,0.1
0.18,0.07,0.09,0.11
