XH-901,FS2011,QA060,RAD 100
0.2,0.09,0.09,0.13
0.2,0.09,0.09,0.12
0.18,0.09,0.09,0.13
0.18,0.09,0.09,0.13
0.18,0.09,0.06,0.11
0.18,0.08,0.12,0.1
0.12,0.08,0.18,0.1
0.18,0.08,0.18,0.1
0.18,0.08,0.18,0.09
0.18,0.08,0.18,0.09
0.18,0.08,0.18,0.09
0.18,0.08,0.18,0.09
0.18,0.08,0.15,0.11
0.18,0.08,0.15,0.11
0.18,0.08,0.12,0.11
0.2,0.08,0.12,0.09
0.21,0.07,0.12,0.08
0.21,0.07,0.09,0.08
0.2,0.07,0.03,0.08
0.2,0.07,0.03,0.08
0.2,0.06,0.03,0.09
0.21,0.06,0.03,0.09
0.2,0.06,0.03,0.09
0.2,0.06,0.03,0.1
0.21,0.05,0.06,0.11
0.21,0.05,0.06,0.11
0.21,0.04,0.06,0.13
0.21,0.04,0.06,0.14
0.21,0.04,0.06,0.13
0.21,0.05,0.06,0.12
0.27,0.05,0.03,0.11
